name_pk,stadium_name,y_coord,x_coord
Arsenal,Emirates Stadium ,51.555,-0.108611
Aston Villa,Villa Park ,52.509167,-1.884722
Bournemouth,Vitality Stadium,50.735351,-1.838097
Brighton,Amex Stadium ,50.861822,-0.083278
Burnley,Turf Moor ,53.789167,-2.230278
Cardiff City,Cardiff City Stadium ,51.472778,-3.203056
Chelsea,Stamford Bridge ,51.481667,-0.191111
Crystal Palace,Selhurst Park ,51.398333,-0.085556
Everton,Goodison Park ,53.438889,-2.966389
Fulham,Craven Cottage ,51.475,-0.221667
Huddersfield,John Smith's Stadium,53.654263,-1.767898
Hull City,KC Stadium ,53.746111,-0.367778
Leicester City,King Power Stadium ,52.620278,-1.142222
Liverpool,Anfield ,53.430819,-2.960828
Manchester City,Etihad Stadium,53.482989,-2.200292
Manchester Utd,Old Trafford ,53.463056,-2.291389
Middlesbrough,Riverside Stadium ,54.578333,-1.216944
Newcastle Utd,Sports Direct Arena,54.975556,-1.621667
Norwich City,Carrow Road ,52.622128,1.308653
QPR,Loftus Road ,51.509167,-0.232222
Sheffield Utd,Bramall Lane,53.369675,-1.470869
Southampton,St Mary's Stadium ,50.905833,-1.391111
Stoke City,Britannia Stadium ,52.988333,-2.175556
Sunderland,Stadium of Light ,54.9144,-1.3882
Swansea City,Liberty Stadium ,51.6422,-3.9351
Tottenham,Tottenham Hotspur Stadium,51.603333,-0.065833
Watford,Vicarage Road ,51.649836,-0.401486
West Brom,The Hawthorns ,52.509167,-1.963889
West Ham,Boleyn Ground ,51.531944,0.039444
Wolves,Molineux Stadium ,52.590278,-2.130278
